date,timestamp,block_hash,current_era_index,block_number
2020-10-02,1601638578000,0x41f6caeb1f8f68f72e984bd61bcf9a6cf5f7f4c8204ceac6ff633dd9d1886740,123,1847820
2020-10-03,1601724978000,0x8f73d55a106748b6858b494d2d5bf263b9f725268f6444ccb0bb6faa1c18faa6,124,1861890
2020-10-04,1601811378000,0xee37022dcb8052d28def589fe76b5e3123350ea134fddc43a58024ef64745734,125,1875980
2020-10-05,1601897778000,0xe3f81becc88094eee3466c89fb7d4f5d4116f93301b1951c00d753e2bdf184df,126,1890247
2020-10-06,1601984178000,0x3464ee9621c210fe305301aec356f894d919ae06c8a4db40f8993343cf394aac,127,1904622
2020-10-07,1602070578000,0x05180510fe02c548dcbcda3dbb34560e3b379e6f4cf345f89053d67e495c6da3,128,1918988
2020-10-08,1602156978000,0x6b20887a56db43748c46ae2169cb533ad9e7426282ed39fbe501a1d88a7404e1,129,1933362
2020-10-09,1602243378000,0x7ae41a45f41847d51130826a0f7ecadae74812662400ba3733b4e922ba3fd11e,130,1947729
2020-10-10,1602329784000,0x6289823ae3e3f582a9c80e743b36f6803cee74e3eda5fedd071a7777db43bac1,131,1962083
2020-10-11,1602416178000,0xd4677800f497f0b499c14506419b95941c0631e949909bfc2e218d4403647948,132,1976344
2020-10-12,1602502578000,0xc81ccfa8c3e953a30847d2e3098973835c4368ba3d183f096ba2cb1d76aabb1b,133,1990575
2020-10-13,1602588978000,0x3b1398ec940606b184f91ada790ea4a7204e74a25326bc0074dc94707326c77a,134,2004886
2020-10-14,1602675378000,0xc8530e73c00ec4a64d949b5756ad173114a1850ee42ad9c964fad620114b492f,135,2019186
2020-10-15,1602761778000,0x32817dbb9687aebf0f09941e0005c0c55326f65645cb5e66c5de5c80e9938da6,136,2033524
2020-10-16,1602848178000,0x72ce9aec6163a0ec100d17103df06ed00a8365c7f51a3139e9c9a26cb52d6144,137,2047785
2020-10-17,1602934578000,0xd98231061281b73424c3d3a4c9f9c2eb172f66f16f6b245f647686dbaf52e945,138,2062167
2020-10-18,1603020978000,0x6d2c6bea67717847074202430c6978c9c506ec627b4f15f16364dc5aa033f813,139,2076534
2020-10-19,1603107378000,0xabf25a817c3fe61c1cd461c913351977cbd879952a29a887e7e53e01771e45cd,140,2090900
2020-10-20,1603193778000,0xb81fa602a480912838f600f0ac34361ea449e96a1ef7510ae743ee5ed9455451,141,2105278
2020-10-21,1603280178000,0xe41473977da6336e6924290755c2e6fc8261888f502a6d2c7a8963c7fda6eae5,142,2119647
2020-10-22,1603366578000,0x62a19825838fe709e0e590aaed59f231ad2cdcdd95d137b50601ba351633c0de,143,2134012
2020-10-23,1603452978000,0x688f2b714130306fa0e0b53d20af2e8004a8de2daa97ee7ddeb39493a9e0bd8e,144,2148347
2020-10-24,1603539378000,0x9a7036f7cf576e745bd072dba351e89a6cbba35885cfe338d14481f4944482e1,145,2162677
